Track,Data,Value
Monza,Nombre de tours,446
Bahrein,Nombre de tours,360
Spa-Francorchamps,Nombre de tours,647
Algarve,Nombre de tours,134
Fuji,Nombre de tours,288
Sebring,Nombre de tours,811
Bahrein (Outer),Nombre de tours,466
Le Mans,Nombre de tours,120
Fuji (classic),Nombre de tours,170
Monza (Grande),Nombre de tours,5
Bahrein (Paddock),Nombre de tours,2
Imola,Nombre de tours,322
Sebring (school),Nombre de tours,4
Interlagos,Nombre de tours,157
COTA,Nombre de tours,130
Silverstone,Nombre de tours,161
Lusail,Nombre de tours,286
Paul Ricard,Nombre de tours,53
Barcelone,Nombre de tours,397
Monza,Nombre de victoires,0
Bahrein,Nombre de victoires,0
Spa-Francorchamps,Nombre de victoires,0
Algarve,Nombre de victoires,0
Fuji,Nombre de victoires,0
Sebring,Nombre de victoires,0
Bahrein (Outer),Nombre de victoires,0
Le Mans,Nombre de victoires,0
Fuji (classic),Nombre de victoires,1
Monza (Grande),Nombre de victoires,0
Bahrein (Paddock),Nombre de victoires,0
Imola,Nombre de victoires,0
Sebring (school),Nombre de victoires,0
Interlagos,Nombre de victoires,0
COTA,Nombre de victoires,0
Silverstone,Nombre de victoires,0
Lusail,Nombre de victoires,0
Paul Ricard,Nombre de victoires,0
Barcelone,Nombre de victoires,0
Monza,Nombre de TOP10,9
Bahrein,Nombre de TOP10,10
Spa-Francorchamps,Nombre de TOP10,13
Algarve,Nombre de TOP10,3
Fuji,Nombre de TOP10,6
Sebring,Nombre de TOP10,24
Bahrein (Outer),Nombre de TOP10,4
Le Mans,Nombre de TOP10,3
Fuji (classic),Nombre de TOP10,3
Monza (Grande),Nombre de TOP10,0
Bahrein (Paddock),Nombre de TOP10,0
Imola,Nombre de TOP10,4
Sebring (school),Nombre de TOP10,0
Interlagos,Nombre de TOP10,1
COTA,Nombre de TOP10,3
Silverstone,Nombre de TOP10,3
Lusail,Nombre de TOP10,6
Paul Ricard,Nombre de TOP10,1
Barcelone,Nombre de TOP10,4
Monza,Nombre de courses en multi,22
Bahrein,Nombre de courses en multi,19
Spa-Francorchamps,Nombre de courses en multi,23
Algarve,Nombre de courses en multi,4
Fuji,Nombre de courses en multi,13
Sebring,Nombre de courses en multi,37
Bahrein (Outer),Nombre de courses en multi,11
Le Mans,Nombre de courses en multi,4
Fuji (classic),Nombre de courses en multi,8
