Course,Position,Grid_size,Score_normalise,Somme_glissante_20,Moyenne_glissante_20,Somme_20_courses,Tendance
1,7,17,0.4118,12.1556,0.6078,262,N/A
2,11,11,1.0,12.1556,0.6078,266,Stable
3,12,12,1.0,12.1556,0.6078,256,Stable
4,2,18,0.1111,11.8576,0.5929,250,Amélioration
5,17,19,0.8947,12.3809,0.619,243,Dégradation
6,15,19,0.7895,12.7158,0.6358,247,Dégradation
7,15,19,0.7895,12.5529,0.6276,252,Amélioration
8,14,16,0.875,12.8565,0.6428,247,Dégradation
9,11,12,0.9167,13.5827,0.6791,249,Dégradation
10,11,23,0.4783,13.6609,0.683,256,Dégradation
11,15,19,0.7895,13.5245,0.6762,259,Amélioration
12,20,23,0.8696,13.8385,0.6919,249,Dégradation
13,3,19,0.1579,13.1297,0.6565,254,Amélioration
14,22,23,0.9565,13.1974,0.6599,231,Dégradation
15,4,19,0.2105,12.4079,0.6204,237,Amélioration
16,3,19,0.1579,11.9571,0.5979,226,Amélioration
17,17,20,0.85,12.5763,0.6288,215,Dégradation
18,17,20,0.85,13.2899,0.6645,226,Dégradation
19,11,11,1.0,13.6378,0.6819,240,Dégradation
20,4,20,0.2,13.3084,0.6654,236,Amélioration
