Circuit,Voiture,Version,Record,Fichier source,Category
Monza,Ford Mustang LMGT3,0.9200,1:52.507,2025_07_15_23_14_47-35R1.xml,GT3
Monza,McLaren 720S LMGT3 Evo,0.5000,1:54.372,2025_04_23_00_23_48-45P1.xml,GT3
Monza,Ferrari 499P,0.5000,1:42.187,2025_05_03_17_28_06-60P1.xml,Hypercar
Monza,Corvette C8.R GTE,0.5000,1:52.697,2025_05_20_20_52_04-68P1.xml,GTE
Monza,Aston Martin Vantage AMR,1.0110,0:00.000,2025_08_11_17_40_05-05P1.xml,GTE
Monza,Ferrari 488 GTE EVO,1.0110,0:00.000,2025_08_11_19_37_16-65P1.xml,GTE
Monza,Mercedes-AMG LMGT3,1.2000,1:51.659,2026_03_08_14_46_31-56R1.xml,GT3
Monza,Oreca 07,1.1000,1:42.605,2025_09_28_19_51_50-17Q1.xml,LMP2
Monza,BMW M4 LMGT3,1.2000,1:51.058,2026_03_04_17_36_59-61Q1.xml,GT3
Monza,Porsche 911 GT3 R LMGT3,1.1000,1:51.845,2025_10_22_22_11_34-94Q1.xml,GT3
Monza,Lexus RCF LMGT3,1.2000,1:50.720,2026_03_27_17_52_50-45R1.xml,GT3
Bahrein,Ferrari 499P,0.5000,1:57.104,2025_04_23_00_32_55-51P1.xml,Hypercar
Bahrein,Oreca 07,0.9200,1:52.973,2025_07_10_23_34_43-75R1.xml,LMP2
Bahrein,Mercedes-AMG LMGT3,1.0110,0:00.000,2025_08_05_23_55_38-59P1.xml,GT3
Bahrein,Ford Mustang LMGT3,1.0110,0:00.000,2025_08_09_21_31_00-71Q1.xml,GT3
Bahrein,Ferrari 488 GTE EVO,1.0200,2:01.520,2025_08_19_22_31_06-72Q1.xml,GTE
Bahrein,Aston Martin Valkyrie LMH,1.0200,1:49.866,2025_09_09_19_31_31-80P1.xml,Hypercar
Bahrein,Peugeot 9x8,1.0200,1:51.406,2025_09_12_22_33_40-57P1.xml,Hypercar
Bahrein,Alpine A424,1.0200,2:06.164,2025_09_12_22_41_07-31P1.xml,Hypercar
Bahrein,BMW M4 LMGT3,1.0200,2:03.082,2025_09_13_00_20_45-37R1.xml,GT3
Bahrein,Chevrolet Corvette Z06 LMGT3.R,1.0200,2:03.791,2025_09_13_00_28_04-13P1.xml,GT3
Bahrein,Aston Martin Vantage AMR LMGT3,1.0200,2:05.549,2025_09_13_00_34_38-33P1.xml,GT3
